"","Date","Time","Type","sample_id","condition","temp","aggregate","leachate","1:F","alpha","ETRm","Ik","days_of_exposure","treatment"
"1","24-07-22",10:06:18,"REG2","A1H",1,"ambient",1,"high","#1: alpha: 0.116, ETRm: 42.665, Ik: 369.000   (Jassby and Platt 1976)",0.116,42.665,369,4,"ambient_high"
"2","24-07-22",10:10:54,"REG2","A6H",1,"ambient",6,"high","#1: alpha: 0.147, ETRm: 43.515, Ik: 295.416   (Jassby and Platt 1976)",0.147,43.515,295.416,4,"ambient_high"
"3","24-07-22",10:18:06,"REG2","A6L",1,"ambient",6,"low","#1: alpha: 0.129, ETRm: 69.684, Ik: 539.207   (Jassby and Platt 1976)",0.129,69.684,539.207,4,"ambient_low"
"4","24-07-22",10:22:04,"REG2","A2L",1,"ambient",2,"low","#1: alpha: 0.126, ETRm: 50.650, Ik: 402.965   (Jassby and Platt 1976)",0.126,50.65,402.965,4,"ambient_low"
"5","24-07-22",10:26:30,"REG2","A6C",1,"ambient",6,"control","#1: alpha: 0.131, ETRm: 64.952, Ik: 495.109   (Jassby and Platt 1976)",0.131,64.952,495.109,4,"ambient_control"
"6","24-07-22",10:30:12,"REG2","A8C",1,"ambient",8,"control","#1: alpha: 0.107, ETRm: 32.659, Ik: 304.028   (Jassby and Platt 1976)",0.107,32.659,304.028,4,"ambient_control"
"7","24-07-22",10:34:44,"REG2","H4C",1,"hot",4,"control","#1: alpha: 0.157, ETRm: 87.223, Ik: 554.655   (Jassby and Platt 1976)",0.157,87.223,554.655,4,"hot_control"
"8","24-07-22",10:39:20,"REG2","H7C",1,"hot",7,"control","#1: alpha: 0.171, ETRm: 117.751, Ik: 688.190   (Jassby and Platt 1976)",0.171,117.751,688.19,4,"hot_control"
"9","24-07-22",10:43:30,"REG2","H6L",1,"hot",6,"low","#1: alpha: 0.138, ETRm: 75.794, Ik: 550.446   (Jassby and Platt 1976)",0.138,75.794,550.446,4,"hot_low"
"10","24-07-22",10:47:26,"REG2","H8L",1,"hot",8,"low","#1: alpha: 0.154, ETRm: 73.649, Ik: 478.457   (Jassby and Platt 1976)",0.154,73.649,478.457,4,"hot_low"
"11","24-07-22",10:52:48,"REG2","H10H",1,"hot",10,"high","#1: alpha: 0.136, ETRm: 102.165, Ik: 752.974   (Jassby and Platt 1976)",0.136,102.165,752.974,4,"hot_high"
"12","24-07-22",10:57:30,"REG2","H1H",1,"hot",1,"high","#1: alpha: 0.160, ETRm: 78.499, Ik: 490.787   (Jassby and Platt 1976)",0.16,78.499,490.787,4,"hot_high"
"13","24-07-22",11:01:32,"REG2","A3H",1,"ambient",3,"high","#1: alpha: 0.154, ETRm: 76.549, Ik: 496.089   (Jassby and Platt 1976)",0.154,76.549,496.089,4,"ambient_high"
"14","24-07-22",11:05:55,"REG2","A9H",1,"ambient",9,"high","#1: alpha: 0.110, ETRm: 36.100, Ik: 326.906   (Jassby and Platt 1976)",0.11,36.1,326.906,4,"ambient_high"
