"","Date","Time","Type","No.","1:PAR","1:Fo","1:Fm","1:Fv/Fm","sample_id","temp","aggregate","leachate","species"
"1",NA,NA,"D",NA,"Device Nr: #1, DIVING-PAM-II (UWFC0119A)",NA,NA,NA,NA,NA,NA,NA,NA
"2","24-06-21",21:34:29,"FO",1,"0",314,632,0.503,"A1C","ambient",1,"control","A. elegantissima x B. muscatinei"
"3","24-06-21",21:35:38,"FO",2,"0",882,1936,0.544,"A5C","ambient",5,"control","A. elegantissima x B. muscatinei"
"4","24-06-21",21:36:09,"FO",3,"0",53,127,0.583,"A3C","ambient",3,"control","A. elegantissima x B. muscatinei"
"5","24-06-21",21:36:38,"FO",4,"0",503,1024,0.509,"A10C","ambient",10,"control","A. elegantissima x B. muscatinei"
"6","24-06-21",21:36:58,"FO",5,"0",404,1123,0.64,"A8C","ambient",8,"control","A. elegantissima x B. muscatinei"
"7","24-06-21",21:37:27,"FO",6,"0",154,330,0.533,"A9C","ambient",9,"control","A. elegantissima x B. muscatinei"
"8","24-06-21",21:37:47,"FO",7,"0",180,380,0.526,"A2C","ambient",2,"control","A. elegantissima x B. muscatinei"
"9","24-06-21",21:38:10,"FO",8,"0",336,703,0.522,"A4C","ambient",4,"control","A. elegantissima x B. muscatinei"
"10","24-06-21",21:38:32,"FO",9,"0",441,918,0.52,"A7C","ambient",7,"control","A. elegantissima x B. muscatinei"
"11","24-06-21",21:38:50,"FO",10,"0",244,546,0.553,"A6C","ambient",6,"control","A. elegantissima x B. muscatinei"
"12","24-06-21",21:39:29,"FO",11,"0",198,410,0.517,"A4L","ambient",4,"low","A. elegantissima x B. muscatinei"
"13","24-06-21",21:40:00,"FO",12,"0",198,479,0.587,"A5L","ambient",5,"low","A. elegantissima x B. muscatinei"
"14","24-06-21",21:40:18,"FO",13,"0",374,673,0.444,"A7L","ambient",7,"low","A. elegantissima x B. muscatinei"
"15","24-06-21",21:40:35,"FO",14,"0",389,856,0.546,"A9L","ambient",9,"low","A. elegantissima x B. muscatinei"
"16","24-06-21",21:40:53,"FO",15,"0",450,1107,0.593,"A6L","ambient",6,"low","A. elegantissima x B. muscatinei"
"17","24-06-21",21:41:19,"FO",16,"0",500,1076,0.535,"A10L","ambient",10,"low","A. elegantissima x B. muscatinei"
"18","24-06-21",21:41:39,"FO",17,"0",137,316,0.566,"A8L","ambient",8,"low","A. elegantissima x B. muscatinei"
"19","24-06-21",21:42:13,"FO",18,"0",27,62,0.565,"A1L","ambient",1,"low","A. elegantissima x B. muscatinei"
