"","Date","Time","Type","No.","1:PAR","1:Fo","1:Fm","1:Fv/Fm","sample_id","temp","aggregate","leachate","species"
"20","24-06-21",21:42:41,"FO",19,"0",244,574,0.575,"A3L","ambient",3,"low","A. elegantissima x B. muscatinei"
"21","24-06-21",21:43:00,"FO",20,"0",385,730,0.473,"A2L","ambient",2,"low","A. elegantissima x B. muscatinei"
"22","24-06-21",21:43:32,"FO",21,"0",268,596,0.55,"A4H","ambient",4,"high","A. elegantissima x B. muscatinei"
"23","24-06-21",21:44:03,"FO",22,"0",276,691,0.601,"A10H","ambient",10,"high","A. elegantissima x B. muscatinei"
"24","24-06-21",21:44:26,"FO",23,"0",496,1128,0.56,"A9H","ambient",9,"high","A. elegantissima x B. muscatinei"
"25","24-06-21",21:44:44,"FO",24,"0",479,1201,0.601,"A5H","ambient",5,"high","A. elegantissima x B. muscatinei"
"26","24-06-21",21:45:07,"FO",25,"0",143,301,0.525,"A6H","ambient",6,"high","A. elegantissima x B. muscatinei"
"27","24-06-21",21:45:29,"FO",26,"0",236,463,0.49,"A2H","ambient",2,"high","A. elegantissima x B. muscatinei"
"28","24-06-21",21:45:57,"FO",27,"0",287,555,0.483,"A8H","ambient",8,"high","A. elegantissima x B. muscatinei"
"29","24-06-21",21:46:16,"FO",28,"0",435,954,0.544,"A7H","ambient",7,"high","A. elegantissima x B. muscatinei"
"30","24-06-21",21:46:37,"FO",29,"0",200,444,0.55,"A3H","ambient",3,"high","A. elegantissima x B. muscatinei"
"31","24-06-21",21:46:55,"FO",30,"0",214,473,0.548,"A1H","ambient",1,"high","A. elegantissima x B. muscatinei"
"32","24-06-21",21:48:45,"FO",31,"0",324,733,0.558,"H9C","hot",9,"control","A. elegantissima x B. muscatinei"
"33","24-06-21",21:49:25,"FO",32,"0",195,433,0.55,"H5C","hot",5,"control","A. elegantissima x B. muscatinei"
"34","24-06-21",21:49:43,"FO",33,"0",224,439,0.49,"H2C","hot",2,"control","A. elegantissima x B. muscatinei"
"35","24-06-21",21:49:58,"FO",34,"0",504,1167,0.568,"H3C","hot",3,"control","A. elegantissima x B. muscatinei"
"36","24-06-21",21:50:16,"FO",35,"0",304,492,0.382,"H4C","hot",4,"control","A. elegantissima x B. muscatinei"
"37","24-06-21",21:51:02,"FO",36,"0",331,696,0.524,"H10C","hot",10,"control","A. elegantissima x B. muscatinei"
"38","24-06-21",21:51:22,"FO",37,"0",556,1254,0.557,"H6C","hot",6,"control","A. elegantissima x B. muscatinei"
"39","24-06-21",21:51:47,"FO",38,"0",246,479,0.486,"H1C","hot",1,"control","A. elegantissima x B. muscatinei"
"40","24-06-21",21:52:03,"FO",39,"0",467,864,0.459,"H8C","hot",8,"control","A. elegantissima x B. muscatinei"
"41","24-06-21",21:52:22,"FO",40,"0",353,760,0.536,"H7C","hot",7,"control","A. elegantissima x B. muscatinei"
"42","24-06-21",21:53:01,"FO",41,"0",46,100,0.54,"H7L","hot",7,"low","A. elegantissima x B. muscatinei"
"43","24-06-21",21:53:18,"FO",42,"0",556,1120,0.504,"H4L","hot",4,"low","A. elegantissima x B. muscatinei"
"44","24-06-21",21:53:38,"FO",43,"0",413,993,0.584,"H3L","hot",3,"low","A. elegantissima x B. muscatinei"
"45","24-06-21",21:53:57,"FO",44,"0",492,1105,0.555,"H9L","hot",9,"low","A. elegantissima x B. muscatinei"
"46","24-06-21",21:54:25,"FO",45,"0",717,1506,0.524,"H6L","hot",6,"low","A. elegantissima x B. muscatinei"
"47","24-06-21",21:55:03,"FO",46,"0",279,581,0.52,"H1L","hot",1,"low","A. elegantissima x B. muscatinei"
"48","24-06-21",21:55:25,"FO",47,"0",657,1337,0.509,"H2L","hot",2,"low","A. elegantissima x B. muscatinei"
"49","24-06-21",21:55:43,"FO",48,"0",549,1138,0.518,"H5L","hot",5,"low","A. elegantissima x B. muscatinei"
"50","24-06-21",21:56:06,"FO",49,"0",385,702,0.452,"H10L","hot",10,"low","A. elegantissima x B. muscatinei"
"51","24-06-21",21:56:26,"FO",50,"0",189,415,0.545,"H8L","hot",8,"low","A. elegantissima x B. muscatinei"
"52","24-06-21",21:57:51,"FO",51,"0",508,1113,0.544,"H9H","hot",9,"high","A. elegantissima x B. muscatinei"
"53","24-06-21",21:58:10,"FO",52,"0",372,805,0.538,"H3H","hot",3,"high","A. elegantissima x B. muscatinei"
"54","24-06-21",21:58:28,"FO",53,"0",451,1028,0.561,"H7H","hot",7,"high","A. elegantissima x B. muscatinei"
"55","24-06-21",21:58:50,"FO",54,"0",574,1156,0.503,"H8H","hot",8,"high","A. elegantissima x B. muscatinei"
"56","24-06-21",21:59:06,"FO",55,"0",313,650,0.518,"H10H","hot",10,"high","A. elegantissima x B. muscatinei"
"57","24-06-21",21:59:31,"FO",56,"0",753,1511,0.502,"H4H","hot",4,"high","A. elegantissima x B. muscatinei"
"58","24-06-21",21:59:49,"FO",57,"0",754,1557,0.516,"H6H","hot",6,"high","A. elegantissima x B. muscatinei"
"59","24-06-21",22:00:14,"FO",58,"0",142,321,0.558,"H2H","hot",2,"high","A. elegantissima x B. muscatinei"
"60","24-06-21",22:00:33,"FO",59,"0",398,789,0.496,"H5H","hot",5,"high","A. elegantissima x B. muscatinei"
"61","24-06-21",22:00:52,"FO",60,"0",510,1007,0.494,"H1H","hot",1,"high","A. elegantissima x B. muscatinei"
