"","Date","Time","Fo","Fm","FvFm","sample_id","temp","aggregate","leachate","species","days_of_exposure","treatment"
"1","24-06-19",21:02:25,274,516,0.469,"H2C","hot",2,"control","A. elegantissima x B. muscatinei","1","hot_control"
"2","24-06-19",21:04:30,188,427,0.56,"H3C","hot",3,"control","A. elegantissima x B. muscatinei","1","hot_control"
"3","24-06-19",21:04:57,434,925,0.531,"H7C","hot",7,"control","A. elegantissima x B. muscatinei","1","hot_control"
"4","24-06-19",21:05:21,390,646,0.396,"H6C","hot",6,"control","A. elegantissima x B. muscatinei","1","hot_control"
"5","24-06-19",21:05:43,250,548,0.544,"H5C","hot",5,"control","A. elegantissima x B. muscatinei","1","hot_control"
"6","24-06-19",21:06:03,356,738,0.518,"H10C","hot",10,"control","A. elegantissima x B. muscatinei","1","hot_control"
"7","24-06-19",21:06:24,62,113,0.451,"H1C","hot",1,"control","A. elegantissima x B. muscatinei","1","hot_control"
"8","24-06-19",21:06:44,436,879,0.504,"H4C","hot",4,"control","A. elegantissima x B. muscatinei","1","hot_control"
"9","24-06-19",21:07:05,328,742,0.558,"H5L","hot",5,"low","A. elegantissima x B. muscatinei","1","hot_low"
"10","24-06-19",21:07:27,396,852,0.535,"H9C","hot",9,"control","A. elegantissima x B. muscatinei","1","hot_control"
"11","24-06-19",21:08:03,226,326,0.307,"H10L","hot",10,"low","A. elegantissima x B. muscatinei","1","hot_low"
"12","24-06-19",21:08:29,635,1445,0.561,"H8L","hot",8,"low","A. elegantissima x B. muscatinei","1","hot_low"
"13","24-06-19",21:08:52,787,1645,0.522,"H2L","hot",2,"low","A. elegantissima x B. muscatinei","1","hot_low"
"14","24-06-19",21:09:13,341,752,0.547,"H4L","hot",4,"low","A. elegantissima x B. muscatinei","1","hot_low"
"15","24-06-19",21:09:36,333,662,0.497,"H3L","hot",3,"low","A. elegantissima x B. muscatinei","1","hot_low"
"16","24-06-19",21:10:11,743,1376,0.46,"H10H","hot",10,"high","A. elegantissima x B. muscatinei","1","hot_high"
"17","24-06-19",21:10:46,334,727,0.541,"H3H","hot",3,"high","A. elegantissima x B. muscatinei","1","hot_high"
"18","24-06-19",21:11:06,589,1214,0.515,"H7H","hot",7,"high","A. elegantissima x B. muscatinei","1","hot_high"
"19","24-06-19",21:11:58,479,1107,0.567,"H8C","hot",8,"control","A. elegantissima x B. muscatinei","1","hot_control"
"20","24-06-19",21:12:23,319,705,0.548,"H7L","hot",7,"low","A. elegantissima x B. muscatinei","1","hot_low"
"21","24-06-19",21:12:55,258,622,0.585,"H1H","hot",1,"high","A. elegantissima x B. muscatinei","1","hot_high"
"22","24-06-19",21:13:20,351,737,0.524,"H5H","hot",5,"high","A. elegantissima x B. muscatinei","1","hot_high"
"23","24-06-19",21:13:51,522,1328,0.607,"H9H","hot",9,"high","A. elegantissima x B. muscatinei","1","hot_high"
"24","24-06-19",21:14:41,478,1087,0.56,"H1L","hot",1,"low","A. elegantissima x B. muscatinei","1","hot_low"
"25","24-06-19",21:15:20,919,1811,0.493,"H4H","hot",4,"high","A. elegantissima x B. muscatinei","1","hot_high"
"26","24-06-19",21:16:53,514,1110,0.537,"H2H","hot",2,"high","A. elegantissima x B. muscatinei","1","hot_high"
"27","24-06-19",21:17:39,421,929,0.547,"H8H","hot",8,"high","A. elegantissima x B. muscatinei","1","hot_high"
"28","24-06-19",21:18:02,342,722,0.526,"H6H","hot",6,"high","A. elegantissima x B. muscatinei","1","hot_high"
"29","24-06-19",21:18:26,367,805,0.544,"H6L","hot",6,"low","A. elegantissima x B. muscatinei","1","hot_low"
"30","24-06-19",21:18:40,179,389,0.54,"H9L","hot",9,"low","A. elegantissima x B. muscatinei","1","hot_low"
"31","24-06-19",21:20:14,272,522,0.479,"A4C","ambient",4,"control","A. elegantissima x B. muscatinei","1","ambient_control"
"32","24-06-19",21:22:12,356,877,0.594,"A8C","ambient",8,"control","A. elegantissima x B. muscatinei","1","ambient_control"
"33","24-06-19",21:22:38,313,669,0.532,"A6C","ambient",6,"control","A. elegantissima x B. muscatinei","1","ambient_control"
"34","24-06-19",21:23:28,211,483,0.563,"A10C","ambient",10,"control","A. elegantissima x B. muscatinei","1","ambient_control"
"35","24-06-19",21:24:09,99,244,0.594,"A3C","ambient",3,"control","A. elegantissima x B. muscatinei","1","ambient_control"
"36","24-06-19",21:24:51,300,623,0.518,"A9C","ambient",9,"control","A. elegantissima x B. muscatinei","1","ambient_control"
"37","24-06-19",21:25:13,306,660,0.536,"A8L","ambient",8,"low","A. elegantissima x B. muscatinei","1","ambient_low"
"38","24-06-19",21:25:35,213,424,0.498,"A2C","ambient",2,"control","A. elegantissima x B. muscatinei","1","ambient_control"
"39","24-06-19",21:26:04,292,554,0.473,"A4L","ambient",4,"low","A. elegantissima x B. muscatinei","1","ambient_low"
"40","24-06-19",21:26:30,238,477,0.501,"A1C","ambient",1,"control","A. elegantissima x B. muscatinei","1","ambient_control"
"41","24-06-19",21:26:58,408,968,0.579,"A9L","ambient",9,"low","A. elegantissima x B. muscatinei","1","ambient_low"
"42","24-06-19",21:27:26,154,267,0.423,"A1L","ambient",1,"low","A. elegantissima x B. muscatinei","1","ambient_low"
"43","24-06-19",21:27:53,285,597,0.523,"A4H","ambient",4,"high","A. elegantissima x B. muscatinei","1","ambient_high"
"44","24-06-19",21:28:20,232,519,0.553,"A5L","ambient",5,"low","A. elegantissima x B. muscatinei","1","ambient_low"
"45","24-06-19",21:28:43,348,827,0.579,"A6L","ambient",6,"low","A. elegantissima x B. muscatinei","1","ambient_low"
"46","24-06-19",21:29:21,190,505,0.624,"A7H","ambient",7,"high","A. elegantissima x B. muscatinei","1","ambient_high"
"47","24-06-19",21:29:55,372,801,0.536,"A3L","ambient",3,"low","A. elegantissima x B. muscatinei","1","ambient_low"
"48","24-06-19",21:32:09,344,715,0.519,"A7C","ambient",7,"control","A. elegantissima x B. muscatinei","1","ambient_control"
"49","24-06-19",21:32:30,179,359,0.501,"A3H","ambient",3,"high","A. elegantissima x B. muscatinei","1","ambient_high"
"50","24-06-19",21:32:54,380,774,0.509,"A8H","ambient",8,"high","A. elegantissima x B. muscatinei","1","ambient_high"
"51","24-06-19",21:33:42,347,606,0.427,"A10H","ambient",10,"high","A. elegantissima x B. muscatinei","1","ambient_high"
"52","24-06-19",21:34:13,424,906,0.532,"A5H","ambient",5,"high","A. elegantissima x B. muscatinei","1","ambient_high"
"53","24-06-19",21:34:43,252,500,0.496,"A6H","ambient",6,"high","A. elegantissima x B. muscatinei","1","ambient_high"
"54","24-06-19",21:35:07,645,1414,0.544,"A5C","ambient",5,"control","A. elegantissima x B. muscatinei","1","ambient_control"
