"","Date","Time","Type","No.","1:PAR","1:Fo","1:Fm","1:Fv/Fm","sample_id","temp","aggregate","leachate","species"
"1",NA,NA,"D",NA,"Device Nr: #1, DIVING-PAM-II (UWFC0119A)",NA,NA,NA,NA,NA,NA,NA,NA
"2","24-07-20",21:23:30,"FO",1,"0",258,654,0.606,"A8C","ambient",8,"control","A. elegantissima x B. muscatinei"
"3","24-07-20",21:24:16,"FO",2,"0",404,898,0.55,"A10C","ambient",10,"control","A. elegantissima x B. muscatinei"
"4","24-07-20",21:25:04,"FO",3,"0",221,534,0.586,"A3C","ambient",3,"control","A. elegantissima x B. muscatinei"
"5","24-07-20",21:25:25,"FO",4,"0",536,1276,0.58,"A5C","ambient",5,"control","A. elegantissima x B. muscatinei"
"6","24-07-20",21:25:44,"FO",5,"0",335,741,0.548,"A1C","ambient",1,"control","A. elegantissima x B. muscatinei"
"7","24-07-20",21:26:18,"FO",6,"0",339,864,0.608,"A6C","ambient",6,"control","A. elegantissima x B. muscatinei"
"8","24-07-20",21:26:49,"FO",7,"0",316,664,0.524,"A7C","ambient",7,"control","A. elegantissima x B. muscatinei"
"9","24-07-20",21:27:09,"FO",8,"0",188,402,0.532,"A4C","ambient",4,"control","A. elegantissima x B. muscatinei"
"10","24-07-20",21:27:40,"FO",9,"0",337,639,0.473,"A2C","ambient",2,"control","A. elegantissima x B. muscatinei"
"11","24-07-20",21:27:57,"FO",10,"0",438,921,0.524,"A9C","ambient",9,"control","A. elegantissima x B. muscatinei"
"12","24-07-20",21:29:16,"FO",11,"0",211,500,0.578,"A6L","ambient",6,"low","A. elegantissima x B. muscatinei"
"13","24-07-20",21:29:35,"FO",12,"0",427,1080,0.605,"A9L","ambient",9,"low","A. elegantissima x B. muscatinei"
"14","24-07-20",21:30:13,"FO",13,"0",246,506,0.514,"A7L","ambient",7,"low","A. elegantissima x B. muscatinei"
"15","24-07-20",21:30:52,"FO",14,"0",273,565,0.517,"A5L","ambient",5,"low","A. elegantissima x B. muscatinei"
"16","24-07-20",21:31:49,"FO",15,"0",131,305,0.57,"A4L","ambient",4,"low","A. elegantissima x B. muscatinei"
"17","24-07-20",21:32:19,"FO",16,"0",259,494,0.476,"A2L","ambient",2,"low","A. elegantissima x B. muscatinei"
"18","24-07-20",21:32:42,"FO",17,"0",186,410,0.546,"A3L","ambient",3,"low","A. elegantissima x B. muscatinei"
"19","24-07-20",21:34:07,"FO",19,"0",80,151,0.47,"A1L","ambient",1,"low","A. elegantissima x B. muscatinei"
"20","24-07-20",21:34:45,"FO",20,"0",188,425,0.558,"A8L","ambient",8,"low","A. elegantissima x B. muscatinei"
"21","24-07-20",21:35:04,"FO",21,"0",172,385,0.553,"A10L","ambient",10,"low","A. elegantissima x B. muscatinei"
"22","24-07-20",21:36:50,"FO",23,"0",142,283,0.498,"A6H","ambient",6,"high","A. elegantissima x B. muscatinei"
"23","24-07-20",21:37:46,"FO",24,"0",227,423,0.463,"A9H","ambient",9,"high","A. elegantissima x B. muscatinei"
"24","24-07-20",21:38:05,"FO",25,"0",194,398,0.513,"A5H","ambient",5,"high","A. elegantissima x B. muscatinei"
"25","24-07-20",21:38:37,"FO",26,"0",216,411,0.474,"A10H","ambient",10,"high","A. elegantissima x B. muscatinei"
"26","24-07-20",21:38:53,"FO",27,"0",175,358,0.511,"A4H","ambient",4,"high","A. elegantissima x B. muscatinei"
"27","24-07-20",21:39:12,"FO",28,"0",273,584,0.533,"A1H","ambient",1,"high","A. elegantissima x B. muscatinei"
"28","24-07-20",21:39:32,"FO",29,"0",171,432,0.604,"A3H","ambient",3,"high","A. elegantissima x B. muscatinei"
"29","24-07-20",21:39:54,"FO",30,"0",230,469,0.51,"A7H","ambient",7,"high","A. elegantissima x B. muscatinei"
"30","24-07-20",21:40:25,"FO",31,"0",416,784,0.469,"A8H","ambient",8,"high","A. elegantissima x B. muscatinei"
"31","24-07-20",21:40:41,"FO",32,"0",275,517,0.468,"A2H","ambient",2,"high","A. elegantissima x B. muscatinei"
"32","24-07-20",21:43:01,"FO",33,"0",328,640,0.488,"H4C","hot",4,"control","A. elegantissima x B. muscatinei"
"33","24-07-20",21:43:37,"FO",34,"0",459,937,0.51,"H3C","hot",3,"control","A. elegantissima x B. muscatinei"
"34","24-07-20",21:44:07,"FO",35,"0",595,1194,0.502,"H2C","hot",2,"control","A. elegantissima x B. muscatinei"
"35","24-07-20",21:44:43,"FO",36,"0",495,1061,0.533,"H9C","hot",9,"control","A. elegantissima x B. muscatinei"
"36","24-07-20",21:45:26,"FO",37,"0",274,601,0.544,"H5C","hot",5,"control","A. elegantissima x B. muscatinei"
"37","24-07-20",21:45:47,"FO",38,"0",337,713,0.527,"H7C","hot",7,"control","A. elegantissima x B. muscatinei"
"38","24-07-20",21:46:31,"FO",39,"0",909,1759,0.483,"H8C","hot",8,"control","A. elegantissima x B. muscatinei"
"39","24-07-20",21:47:34,"FO",40,"0",112,181,0.381,"H1C","hot",1,"control","A. elegantissima x B. muscatinei"
"40","24-07-20",21:47:54,"FO",41,"0",400,722,0.446,"H6C","hot",6,"control","A. elegantissima x B. muscatinei"
"41","24-07-20",21:48:15,"FO",42,"0",641,1257,0.49,"H10C","hot",10,"control","A. elegantissima x B. muscatinei"
"42","24-07-20",21:49:24,"FO",43,"0",359,849,0.577,"H6L","hot",6,"low","A. elegantissima x B. muscatinei"
"43","24-07-20",21:49:55,"FO",44,"0",189,392,0.518,"H9L","hot",9,"low","A. elegantissima x B. muscatinei"
"44","24-07-20",21:50:15,"FO",45,"0",205,314,0.347,"H7L","hot",7,"low","A. elegantissima x B. muscatinei"
"45","24-07-20",21:50:39,"FO",46,"0",270,584,0.538,"H3L","hot",3,"low","A. elegantissima x B. muscatinei"
"46","24-07-20",21:51:08,"FO",47,"0",462,968,0.523,"H4L","hot",4,"low","A. elegantissima x B. muscatinei"
"47","24-07-20",21:51:40,"FO",48,"0",340,660,0.485,"H1L","hot",1,"low","A. elegantissima x B. muscatinei"
"48","24-07-20",21:52:10,"FO",49,"0",452,1023,0.558,"H8L","hot",8,"low","A. elegantissima x B. muscatinei"
"49","24-07-20",21:52:31,"FO",50,"0",345,692,0.501,"H10L","hot",10,"low","A. elegantissima x B. muscatinei"
"50","24-07-20",21:52:50,"FO",51,"0",633,1304,0.515,"H5L","hot",5,"low","A. elegantissima x B. muscatinei"
"51","24-07-20",21:53:12,"FO",52,"0",556,1170,0.525,"H2L","hot",2,"low","A. elegantissima x B. muscatinei"
"52","24-07-20",21:54:25,"FO",53,"0",300,545,0.45,"H10H","hot",10,"high","A. elegantissima x B. muscatinei"
"53","24-07-20",21:54:49,"FO",54,"0",195,412,0.527,"H9H","hot",9,"high","A. elegantissima x B. muscatinei"
"54","24-07-20",21:55:09,"FO",55,"0",440,985,0.553,"H8H","hot",8,"high","A. elegantissima x B. muscatinei"
"55","24-07-20",21:55:29,"FO",56,"0",730,1450,0.497,"H7H","hot",7,"high","A. elegantissima x B. muscatinei"
"56","24-07-20",21:55:51,"FO",57,"0",436,806,0.459,"H3H","hot",3,"high","A. elegantissima x B. muscatinei"
"57","24-07-20",21:56:16,"FO",58,"0",618,1245,0.504,"H1H","hot",1,"high","A. elegantissima x B. muscatinei"
"58","24-07-20",21:56:35,"FO",59,"0",584,1233,0.526,"H4H","hot",4,"high","A. elegantissima x B. muscatinei"
"59","24-07-20",21:56:53,"FO",60,"0",520,1130,0.54,"H5H","hot",5,"high","A. elegantissima x B. muscatinei"
"60","24-07-20",21:57:12,"FO",61,"0",520,1023,0.492,"H2H","hot",2,"high","A. elegantissima x B. muscatinei"
"61","24-07-20",21:57:29,"FO",62,"0",746,1524,0.51,"H6H","hot",6,"high","A. elegantissima x B. muscatinei"
