"","Date","Time","Type","No.","1:PAR","1:Fo","1:Fm","1:Fv/Fm","sample_id","temp","aggregate","leachate","species"
"50","24-06-22",20:38:35,"FO",49,"0",837,1797,0.534,"H2L","hot",2,"low","A. elegantissima x B. muscatinei"
"51","24-06-22",20:38:51,"FO",50,"0",605,1336,0.547,"H1L","hot",1,"low","A. elegantissima x B. muscatinei"
"52","24-06-22",20:39:35,"FO",51,"0",250,489,0.489,"H10H","hot",10,"high","A. elegantissima x B. muscatinei"
"53","24-06-22",20:40:00,"FO",52,"0",377,911,0.586,"H8H","hot",8,"high","A. elegantissima x B. muscatinei"
"54","24-06-22",20:40:18,"FO",53,"0",343,760,0.549,"H7H","hot",7,"high","A. elegantissima x B. muscatinei"
"55","24-06-22",20:40:42,"FO",54,"0",628,1528,0.589,"H3H","hot",3,"high","A. elegantissima x B. muscatinei"
"56","24-06-22",20:41:10,"FO",55,"0",472,1081,0.563,"H9H","hot",9,"high","A. elegantissima x B. muscatinei"
"57","24-06-22",20:41:35,"FO",56,"0",59,138,0.572,"H1H","hot",1,"high","A. elegantissima x B. muscatinei"
"58","24-06-22",20:42:06,"FO",57,"0",941,2060,0.543,"H5H","hot",5,"high","A. elegantissima x B. muscatinei"
"59","24-06-22",20:42:27,"FO",58,"0",503,1131,0.555,"H2H","hot",2,"high","A. elegantissima x B. muscatinei"
"60","24-06-22",20:42:58,"FO",59,"0",389,966,0.597,"H6H","hot",6,"high","A. elegantissima x B. muscatinei"
"61","24-06-22",20:43:19,"FO",60,"0",613,1503,0.592,"H4H","hot",4,"high","A. elegantissima x B. muscatinei"
