"","Date","Time","Type","sample_id","condition","temp","aggregate","leachate","1:F","alpha","ETRm","Ik","days_of_exposure","treatment"
"31","24-07-21",15:12:57,"REG2","A3C",1,"ambient",3,"control","#1: alpha: 0.115, ETRm: 89.346, Ik: 776.768   (Jassby and Platt 1976)",0.115,89.346,776.768,3,"ambient_control"
"32","24-07-21",15:21:15,"REG2","A7L",1,"ambient",7,"low","#1: alpha: 0.123, ETRm: 78.220, Ik: 635.540   (Jassby and Platt 1976)",0.123,78.22,635.54,3,"ambient_low"
"33","24-07-21",15:27:02,"REG2","A1L",1,"ambient",1,"low","#1: alpha: 0.115, ETRm: 57.131, Ik: 495.705   (Jassby and Platt 1976)",0.115,57.131,495.705,3,"ambient_low"
"34","24-07-21",15:30:57,"REG2","A5H",1,"ambient",5,"high","#1: alpha: 0.135, ETRm: 35.045, Ik: 260.304   (Jassby and Platt 1976)",0.135,35.045,260.304,3,"ambient_high"
"35","24-07-21",15:34:46,"REG2","A7H",1,"ambient",7,"high","#1: alpha: 0.166, ETRm: 38.448, Ik: 231.950   (Jassby and Platt 1976)",0.166,38.448,231.95,3,"ambient_high"
"36","24-07-21",15:38:43,"REG2","H5H",1,"hot",5,"high","#1: alpha: 0.158, ETRm: 56.659, Ik: 359.270   (Jassby and Platt 1976)",0.158,56.659,359.27,3,"hot_high"
"37","24-07-21",15:43:37,"REG2","H8H",2,"hot",8,"high","#1: alpha: 0.155, ETRm: 69.140, Ik: 444.876   (Jassby and Platt 1976)",0.155,69.14,444.876,3,"hot_high"
"38","24-07-21",15:47:31,"REG2","H10L",1,"hot",10,"low","#1: alpha: 0.125, ETRm: 74.589, Ik: 597.174   (Jassby and Platt 1976)",0.125,74.589,597.174,3,"hot_low"
"39","24-07-21",15:51:22,"REG2","H9L",1,"hot",9,"low","#1: alpha: 0.148, ETRm: 85.657, Ik: 577.764   (Jassby and Platt 1976)",0.148,85.657,577.764,3,"hot_low"
"40","24-07-21",15:55:49,"REG2","H8C",3,"hot",8,"control","#1: alpha: 0.146, ETRm: 63.492, Ik: 434.985   (Jassby and Platt 1976)",0.146,63.492,434.985,3,"hot_control"
"41","24-07-21",15:59:43,"REG2","H3C",1,"hot",3,"control","#1: alpha: 0.139, ETRm: 65.996, Ik: 473.681   (Jassby and Platt 1976)",0.139,65.996,473.681,3,"hot_control"
"42","24-07-21",16:03:45,"REG2","A10C",1,"ambient",10,"control","#1: alpha: 0.101, ETRm: 41.635, Ik: 412.960   (Jassby and Platt 1976)",0.101,41.635,412.96,3,"ambient_control"
"43","24-07-21",16:07:27,"REG2","A7C",1,"ambient",7,"control","#1: alpha: 0.124, ETRm: 37.309, Ik: 300.754   (Jassby and Platt 1976)",0.124,37.309,300.754,3,"ambient_control"
"44","24-07-21",16:11:31,"REG2","A9L",1,"ambient",9,"low","#1: alpha: 0.113, ETRm: 32.005, Ik: 283.558   (Jassby and Platt 1976)",0.113,32.005,283.558,3,"ambient_low"
"45","24-07-21",16:15:14,"REG2","A3L",1,"ambient",3,"low","#1: alpha: 0.132, ETRm: 61.734, Ik: 467.998   (Jassby and Platt 1976)",0.132,61.734,467.998,3,"ambient_low"
"46","24-07-21",16:18:53,"REG2","A9H",1,"ambient",9,"high","#1: alpha: 0.098, ETRm: 38.498, Ik: 394.758   (Jassby and Platt 1976)",0.098,38.498,394.758,3,"ambient_high"
"47","24-07-21",16:23:12,"REG2","A3H",1,"ambient",3,"high","#1: alpha: 0.110, ETRm: 45.792, Ik: 414.484   (Jassby and Platt 1976)",0.11,45.792,414.484,3,"ambient_high"
"48","24-07-21",16:31:09,"REG2","H10H",1,"hot",10,"high","#1: alpha: 0.150, ETRm: 118.190, Ik: 785.644   (Jassby and Platt 1976)",0.15,118.19,785.644,3,"hot_high"
"49","24-07-21",16:35:28,"REG2","H8L",2,"hot",8,"low","#1: alpha: 0.152, ETRm: 58.273, Ik: 383.746   (Jassby and Platt 1976)",0.152,58.273,383.746,3,"hot_low"
"50","24-07-21",16:39:25,"REG2","H6L",1,"hot",6,"low","#1: alpha: 0.118, ETRm: 75.478, Ik: 641.304   (Jassby and Platt 1976)",0.118,75.478,641.304,3,"hot_low"
"51","24-07-21",16:43:34,"REG2","H1H",1,"hot",1,"high","#1: alpha: 0.156, ETRm: 75.917, Ik: 485.473   (Jassby and Platt 1976)",0.156,75.917,485.473,3,"hot_high"
"52","24-07-21",16:48:04,"REG2","H7C",2,"hot",7,"control","#1: alpha: 0.178, ETRm: 117.163, Ik: 657.501   (Jassby and Platt 1976)",0.178,117.163,657.501,3,"hot_control"
"53","24-07-21",16:57:45,"REG2","A8C",1,"ambient",8,"control","#1: alpha: 0.128, ETRm: 36.703, Ik: 287.513   (Jassby and Platt 1976)",0.128,36.703,287.513,3,"ambient_control"
"54","24-07-21",17:01:36,"REG2","A6C",1,"ambient",6,"control","#1: alpha: 0.132, ETRm: 35.577, Ik: 268.757   (Jassby and Platt 1976)",0.132,35.577,268.757,3,"ambient_control"
"55","24-07-21",17:05:21,"REG2","A6L",1,"ambient",6,"low","#1: alpha: 0.144, ETRm: 43.260, Ik: 300.251   (Jassby and Platt 1976)",0.144,43.26,300.251,3,"ambient_low"
"56","24-07-21",17:09:09,"REG2","A2L",1,"ambient",2,"low","#1: alpha: 0.123, ETRm: 46.867, Ik: 382.366   (Jassby and Platt 1976)",0.123,46.867,382.366,3,"ambient_low"
"57","24-07-21",17:12:47,"REG2","A1H",1,"ambient",1,"high","#1: alpha: 0.111, ETRm: 56.707, Ik: 509.273   (Jassby and Platt 1976)",0.111,56.707,509.273,3,"ambient_high"
"58","24-07-21",17:20:34,"REG2","A6H",1,"ambient",6,"high","#1: alpha: 0.139, ETRm: 72.308, Ik: 521.328   (Jassby and Platt 1976)",0.139,72.308,521.328,3,"ambient_high"
