Sync,Date,Time,Type,No.,1:F,1:Fm',1:PAR,1:Y (II),1:ETR,1:Fo',1:ETR-F.,1:qP,1:qN,1:qL,1:NPQ,1:Y (NO),1:Y (NPQ),1:Fo,1:Fm,1:Fv/Fm
,24-07-19,11:16:07.014,REG1,,"#1: alpha: 0.262, ETRm: 92.979, Ik: 354.302   ( beta: 0.019, ETRmPot: 121.790 )   (Platt et al. 1980)",,,,,,,,,,,,,,,
,24-07-19,11:16:07.014,REG2,,"#1: alpha: 0.213, ETRm: 88.571, Ik: 415.808   (Jassby and Platt 1976)",,,,,,,,,,,,,,,
LCS,24-07-19,11:16:08.403,FO,1,344,635,214,0.458,41.2,0,0.84,0,0,0,0,0,0,344,635,0.458
,24-07-19,11:16:18.527,F,2,343,617,256,0.444,47.7,281,0.84,0.815,-0.155,0.668,0.029,0.540,0.016,344,635,0.458
,24-07-19,11:16:28.642,F,3,298,563,292,0.471,57.8,284,0.84,0.950,0.041,0.905,0.128,0.469,0.060,344,635,0.458
,24-07-19,11:16:38.761,F,4,333,564,335,0.410,57.7,270,0.84,0.786,-0.010,0.637,0.126,0.524,0.066,344,635,0.458
,24-07-19,11:16:49.014,F,5,323,497,377,0.350,55.4,246,0.84,0.693,0.137,0.528,0.278,0.509,0.141,344,635,0.458
,24-07-19,11:16:59.127,F,6,330,518,442,0.363,67.4,251,0.84,0.704,0.082,0.535,0.226,0.520,0.117,344,635,0.458
,24-07-19,11:17:09.123,F,7,358,515,557,0.305,71.4,237,0.84,0.565,0.045,0.374,0.233,0.564,0.131,344,635,0.458
,24-07-19,11:17:19.244,F,8,295,449,724,0.343,104.3,195,0.84,0.606,0.127,0.401,0.414,0.465,0.192,344,635,0.458
,24-07-19,11:17:29.361,F,9,342,469,962,0.271,109.5,198,0.84,0.469,0.069,0.272,0.354,0.539,0.190,344,635,0.458
,24-07-19,11:17:39.477,F,10,387,445,1336,0.130,72.9,228,0.84,0.267,0.254,0.157,0.427,0.609,0.261,344,635,0.458
,24-07-19,11:17:49.601,F,11,400,452,1674,0.115,80.9,213,0.84,0.218,0.179,0.116,0.405,0.630,0.255,344,635,0.458
,24-07-19,11:17:59.719,F,12,376,417,2257,0.098,92.9,202,0.84,0.191,0.261,0.103,0.523,0.592,0.310,344,635,0.458
LCE,24-07-19,11:18:09.841,F,13,353,377,2876,0.064,77.3,188,0.84,0.127,0.351,0.068,0.684,0.556,0.380,344,635,0.458
,24-07-19,11:21:13.696,REG1,,"#1: alpha: 0.169, ETRm: 81.465, Ik: 482.506   ( beta: 0.022, ETRmPot: 121.686 )   (Platt et al. 1980)",,,,,,,,,,,,,,,
,24-07-19,11:21:13.696,REG2,,"#1: alpha: 0.147, ETRm: 78.465, Ik: 534.030   (Jassby and Platt 1976)",,,,,,,,,,,,,,,
LCS,24-07-19,11:21:15.085,FO,14,327,589,0,0.445,0.0,0,0.84,0,0,0,0,0,0,327,589,0.445
,24-07-19,11:21:25.203,F,15,347,570,44,0.391,7.2,287,0.84,0.788,-0.080,0.652,0.033,0.589,0.020,327,589,0.445
,24-07-19,11:21:35.330,F,16,338,555,80,0.391,13.1,254,0.84,0.721,-0.149,0.542,0.061,0.574,0.035,327,589,0.445
,24-07-19,11:21:45.444,F,17,287,447,116,0.358,17.4,234,0.84,0.751,0.187,0.612,0.318,0.487,0.155,327,589,0.445
,24-07-19,11:21:55.566,F,18,273,425,161,0.358,24.2,232,0.84,0.788,0.263,0.670,0.386,0.463,0.179,327,589,0.445
,24-07-19,11:22:05.689,F,19,257,390,222,0.341,31.8,213,0.84,0.751,0.324,0.622,0.510,0.436,0.223,327,589,0.445
,24-07-19,11:22:15.805,F,20,364,532,337,0.316,44.7,286,0.84,0.683,0.061,0.537,0.107,0.618,0.066,327,589,0.445
,24-07-19,11:22:25.929,F,21,406,550,505,0.262,55.6,286,0.84,0.545,-0.008,0.384,0.071,0.689,0.049,327,589,0.445
,24-07-19,11:22:36.044,F,22,423,539,743,0.215,67.1,281,0.84,0.450,0.015,0.299,0.093,0.718,0.067,327,589,0.445
,24-07-19,11:22:46.167,F,23,442,528,1114,0.163,76.3,280,0.84,0.347,0.053,0.220,0.116,0.750,0.087,327,589,0.445
,24-07-19,11:22:56.223,F,24,448,517,1455,0.133,81.3,267,0.84,0.276,0.046,0.164,0.139,0.761,0.106,327,589,0.445
,24-07-19,11:23:06.399,F,25,441,489,2037,0.098,83.8,270,0.84,0.219,0.164,0.134,0.204,0.749,0.153,327,589,0.445
LCE,24-07-19,11:23:16.546,F,26,483,516,2655,0.064,71.4,277,0.84,0.138,0.088,0.079,0.141,0.820,0.116,327,589,0.445
,24-07-19,11:30:35.714,REG1,,"#1: alpha: 0.142, ETRm: 57.231, Ik: 402.076   ( beta: 0.014, ETRmPot: 79.239 )   (Platt et al. 1980)",,,,,,,,,,,,,,,
,24-07-19,11:30:35.714,REG2,,"#1: alpha: 0.137, ETRm: 52.910, Ik: 386.538   (Jassby and Platt 1976)",,,,,,,,,,,,,,,
LCS,24-07-19,11:30:37.217,FO,27,314,653,0,0.519,0.0,0,0.84,0,0,0,0,0,0,314,653,0.519
,24-07-19,11:30:47.335,F,28,323,680,44,0.525,9.7,272,0.84,0.875,-0.204,0.737,-0.040,0.495,-0.020,314,653,0.519
,24-07-19,11:30:57.455,F,29,342,636,80,0.462,15.5,274,0.84,0.812,-0.068,0.651,0.027,0.524,0.014,314,653,0.519
,24-07-19,11:31:07.506,F,30,373,636,116,0.414,20.2,250,0.84,0.681,-0.139,0.456,0.027,0.571,0.015,314,653,0.519
,24-07-19,11:31:17.695,F,31,371,586,161,0.367,24.8,260,0.84,0.660,0.038,0.463,0.114,0.568,0.065,314,653,0.519
,24-07-19,11:31:27.811,F,32,426,627,222,0.321,29.9,280,0.84,0.579,-0.024,0.381,0.041,0.652,0.027,314,653,0.519
,24-07-19,11:31:37.932,F,33,503,660,337,0.238,33.7,282,0.84,0.415,-0.115,0.233,-0.011,0.770,-0.008,314,653,0.519
,24-07-19,11:31:48.051,F,34,533,653,505,0.184,39.0,279,0.84,0.321,-0.103,0.168,0.000,0.816,0.000,314,653,0.519
,24-07-19,11:31:58.177,F,35,557,647,744,0.139,43.4,282,0.84,0.247,-0.077,0.125,0.009,0.853,0.008,314,653,0.519
,24-07-19,11:32:08.290,F,36,593,654,1114,0.093,43.5,263,0.84,0.156,-0.153,0.069,-0.002,0.908,-0.001,314,653,0.519
,24-07-19,11:32:18.417,F,37,573,650,1455,0.118,72.1,318,0.84,0.232,0.021,0.129,0.005,0.877,0.005,314,653,0.519
,24-07-19,11:32:28.531,F,38,726,786,2036,0.076,65.0,347,0.84,0.137,-0.295,0.065,-0.169,1.112,-0.188,314,653,0.519
LCE,24-07-19,11:32:38.648,F,39,773,802,2656,0.036,40.2,359,0.84,0.065,-0.307,0.030,-0.186,1.184,-0.220,314,653,0.519
,24-07-19,11:36:22.192,REG1,,"#1: alpha: 0.110, ETRm: 53.309, Ik: 486.629   ( beta: 0.003, ETRmPot: 60.859 )   (Platt et al. 1980)",,,,,,,,,,,,,,,
,24-07-19,11:36:22.192,REG2,,"#1: alpha: 0.089, ETRm: 52.533, Ik: 591.109   (Jassby and Platt 1976)",,,,,,,,,,,,,,,
LCS,24-07-19,11:36:23.590,FO,40,173,256,0,0.324,0.0,0,0.84,0,0,0,0,0,0,173,256,0.324
,24-07-19,11:36:33.705,F,41,184,252,44,0.270,5.0,172,0.84,0.850,0.036,0.795,0.016,0.719,0.011,173,256,0.324
,24-07-19,11:36:43.828,F,42,186,250,80,0.256,8.6,173,0.84,0.831,0.072,0.773,0.024,0.727,0.017,173,256,0.324
,24-07-19,11:36:53.945,F,43,190,250,116,0.240,11.7,171,0.84,0.759,0.048,0.683,0.024,0.742,0.018,173,256,0.324
,24-07-19,11:37:04.071,F,44,191,249,161,0.233,15.8,173,0.84,0.763,0.084,0.691,0.028,0.746,0.021,173,256,0.324
,24-07-19,11:37:14.188,F,45,198,253,222,0.217,20.2,175,0.84,0.705,0.060,0.623,0.012,0.773,0.010,173,256,0.324
,24-07-19,11:37:24.303,F,46,208,257,337,0.191,27.0,176,0.84,0.605,0.024,0.512,-0.004,0.813,-0.004,173,256,0.324
,24-07-19,11:37:34.429,F,47,218,260,505,0.162,34.4,178,0.84,0.512,0.012,0.418,-0.015,0.852,-0.014,173,256,0.324
