Date,Time,Type,No.,1:PAR,1:Fo,1:Fm,1:Fv/Fm,sample_id,temp,aggregate,leachate,species
,,D,,"Device Nr: #1, DIVING-PAM-II (UWFC0119A)",,,,,,,,
24-06-22,20:19:49.417,FO,1,0,250,680,0.632,A8C,ambient,8,control,A. elegantissima x B. muscatinei
24-06-22,20:20:19.389,FO,2,0,256,524,0.511,A10C,ambient,10,control,A. elegantissima x B. muscatinei
24-06-22,20:20:46.534,FO,3,0,368,773,0.524,A3C,ambient,3,control,A. elegantissima x B. muscatinei
24-06-22,20:21:05.977,FO,4,0,499,1197,0.583,A5C,ambient,5,control,A. elegantissima x B. muscatinei
24-06-22,20:21:21.452,FO,5,0,219,487,0.550,A1C,ambient,1,control,A. elegantissima x B. muscatinei
24-06-22,20:21:43.644,FO,6,0,258,518,0.502,A6C,ambient,6,control,A. elegantissima x B. muscatinei
24-06-22,20:22:02.054,FO,7,0,380,959,0.604,A7C,ambient,7,control,A. elegantissima x B. muscatinei
24-06-22,20:22:19.336,FO,8,0,208,506,0.589,A4C,ambient,4,control,A. elegantissima x B. muscatinei
24-06-22,20:22:37.227,FO,9,0,229,497,0.539,A2C,ambient,2,control,A. elegantissima x B. muscatinei
24-06-22,20:22:52.428,FO,10,0,348,842,0.587,A9C,ambient,9,control,A. elegantissima x B. muscatinei
24-06-22,20:23:15.719,FO,11,0,553,1298,0.574,A6L,ambient,6,low,A. elegantissima x B. muscatinei
24-06-22,20:23:31.965,FO,12,0,672,1384,0.514,A9L,ambient,9,low,A. elegantissima x B. muscatinei
24-06-22,20:23:48.495,FO,13,0,726,1449,0.499,A7L,ambient,7,low,A. elegantissima x B. muscatinei
24-06-22,20:24:08.865,FO,14,0,365,798,0.543,A5L,ambient,5,low,A. elegantissima x B. muscatinei
24-06-22,20:24:24.075,FO,15,0,184,448,0.589,A4L,ambient,4,low,A. elegantissima x B. muscatinei
24-06-22,20:24:57.766,FO,16,0,145,312,0.535,A2L,ambient,2,low,A. elegantissima x B. muscatinei
24-06-22,20:25:46.518,FO,17,0,269,651,0.587,A3L,ambient,3,low,A. elegantissima x B. muscatinei
24-06-22,20:26:20.114,FO,18,0,155,317,0.511,A1L,ambient,1,low,A. elegantissima x B. muscatinei
24-06-22,20:26:47.278,FO,19,0,255,620,0.589,A8L,ambient,8,low,A. elegantissima x B. muscatinei
24-06-22,20:27:05.561,FO,20,0,400,928,0.569,A10L,ambient,10,low,A. elegantissima x B. muscatinei
24-06-22,20:27:36.674,FO,21,0,342,796,0.570,A6H,ambient,6,high,A. elegantissima x B. muscatinei
24-06-22,20:27:54.015,FO,22,0,580,1508,0.615,A9H,ambient,9,high,A. elegantissima x B. muscatinei
24-06-22,20:28:14.010,FO,23,0,594,1374,0.568,A5H,ambient,5,high,A. elegantissima x B. muscatinei
24-06-22,20:28:31.108,FO,24,0,187,400,0.533,A10H,ambient,10,high,A. elegantissima x B. muscatinei
24-06-22,20:28:50.285,FO,25,0,396,906,0.563,A4H,ambient,44,high,A. elegantissima x B. muscatinei
24-06-22,20:29:14.247,FO,26,0,249,581,0.571,A3H,ambient,3,high,A. elegantissima x B. muscatinei
24-06-22,20:29:30.382,FO,27,0,410,840,0.512,A1H,ambient,1,high,A. elegantissima x B. muscatinei
24-06-22,20:29:48.480,FO,28,0,611,1575,0.612,A8H,ambient,8,high,A. elegantissima x B. muscatinei
24-06-22,20:30:09.030,FO,29,0,946,2020,0.532,A7H,ambient,7,high,A. elegantissima x B. muscatinei
24-06-22,20:30:28.190,FO,30,0,74,184,0.598,A2H,ambient,2,high,A. elegantissima x B. muscatinei
24-06-22,20:32:06.965,FO,31,0,527,1149,0.541,H4C,hot,4,control,A. elegantissima x B. muscatinei
24-06-22,20:32:37.233,FO,32,0,626,1452,0.569,H3C,hot,3,control,A. elegantissima x B. muscatinei
24-06-22,20:32:56.384,FO,33,0,878,1911,0.541,H2C,hot,2,control,A. elegantissima x B. muscatinei
24-06-22,20:33:15.516,FO,34,0,727,1677,0.566,H5C,hot,5,control,A. elegantissima x B. muscatinei
24-06-22,20:33:33.689,FO,35,0,764,1584,0.518,H9C,hot,9,control,A. elegantissima x B. muscatinei
24-06-22,20:33:53.962,FO,36,0,200,484,0.587,H7C,hot,7,control,A. elegantissima x B. muscatinei
24-06-22,20:34:24.636,FO,37,0,530,1211,0.562,H8C,hot,8,control,A. elegantissima x B. muscatinei
24-06-22,20:34:41.678,FO,38,0,184,370,0.503,H1C,hot,1,control,A. elegantissima x B. muscatinei
