No.,sample_id,condition,date,temp,aggregate,leachate,notes,species
2,A1H,1,6/22/2024,ambient,1,high,,A. elegantissima x B. muscatinei
15,A6H,1,6/22/2024,ambient,6,high,,A. elegantissima x B. muscatinei
39,A6L,1,6/22/2024,ambient,6,low,,A. elegantissima x B. muscatinei
52,A2L,1,6/22/2024,ambient,2,low,,A. elegantissima x B. muscatinei
65,A6C,1,6/22/2024,ambient,6,control,,A. elegantissima x B. muscatinei
78,A8C,1,6/22/2024,ambient,8,control,,A. elegantissima x B. muscatinei
91,H4C,1,6/22/2024,hot,4,control,,A. elegantissima x B. muscatinei
104,H7C,1,6/22/2024,hot,7,control,,A. elegantissima x B. muscatinei
117,H6L,1,6/22/2024,hot,6,low,,A. elegantissima x B. muscatinei
130,H8L,1,6/22/2024,hot,8,low,,A. elegantissima x B. muscatinei
143,H10H,1,6/22/2024,hot,10,high,,A. elegantissima x B. muscatinei
156,H1H,1,6/22/2024,hot,1,high,,A. elegantissima x B. muscatinei
169,A3H,1,6/22/2024,ambient,3,high,,A. elegantissima x B. muscatinei
182,A9H,1,6/22/2024,ambient,9,high,,A. elegantissima x B. muscatinei
195,A3L,1,6/22/2024,ambient,3,low,,A. elegantissima x B. muscatinei
208,A9L,1,6/22/2024,ambient,9,low,,A. elegantissima x B. muscatinei
221,A7C,1,6/22/2024,ambient,7,control,,A. elegantissima x B. muscatinei
234,A10C,1,6/22/2024,ambient,10,control,,A. elegantissima x B. muscatinei
247,H3C,2,6/22/2024,hot,3,control,,A. elegantissima x B. muscatinei
260,H8C,1,6/22/2024,hot,8,control,,A. elegantissima x B. muscatinei
273,H9L,1,6/22/2024,hot,9,low,,A. elegantissima x B. muscatinei
286,H10L,1,6/22/2024,hot,10,low,,A. elegantissima x B. muscatinei
299,H8H,2,6/22/2024,hot,8,high,,A. elegantissima x B. muscatinei
312,H5H,1,6/22/2024,hot,5,high,,A. elegantissima x B. muscatinei
324,A7H,1,6/22/2024,ambient,7,high,,A. elegantissima x B. muscatinei
338,A5H,1,6/22/2024,ambient,5,high,,A. elegantissima x B. muscatinei
364,A7L,1,6/22/2024,ambient,7,low,,A. elegantissima x B. muscatinei
377,A4C,1,6/22/2024,ambient,4,control,,A. elegantissima x B. muscatinei
390,A3C,1,6/22/2024,ambient,3,control,,A. elegantissima x B. muscatinei
403,A1L,1,6/22/2024,ambient,1,low,,A. elegantissima x B. muscatinei
416,H2C,1,6/22/2024,hot,2,control,,A. elegantissima x B. muscatinei
429,H1C,1,6/22/2024,hot,1,control,,A. elegantissima x B. muscatinei
442,H3L,1,6/22/2024,hot,3,low,,A. elegantissima x B. muscatinei
455,H5L,1,6/22/2024,hot,5,low,,A. elegantissima x B. muscatinei
468,H7H,1,6/22/2024,hot,7,high,,A. elegantissima x B. muscatinei
481,H2H,1,6/22/2024,hot,2,high,,A. elegantissima x B. muscatinei
494,A8H,1,6/22/2024,ambient,8,high,,A. elegantissima x B. muscatinei
507,A10H,1,6/22/2024,ambient,10,high,,A. elegantissima x B. muscatinei
520,A8L,1,6/22/2024,ambient,8,low,split,A. elegantissima x B. muscatinei
533,A5L,1,6/22/2024,ambient,5,low,,A. elegantissima x B. muscatinei
546,A2C,1,6/22/2024,ambient,2,control,,A. elegantissima x B. muscatinei
559,A5C,1,6/22/2024,ambient,5,control,,A. elegantissima x B. muscatinei
577,H5C,1,6/22/2024,hot,5,control,,A. elegantissima x B. muscatinei
590,H6C,1,6/22/2024,hot,6,control,,A. elegantissima x B. muscatinei
603,A4H,1,6/22/2024,ambient,4,high,,A. elegantissima x B. muscatinei
616,A2H,1,6/22/2024,ambient,2,high,,A. elegantissima x B. muscatinei
629,H6H,1,6/22/2024,hot,6,high,,A. elegantissima x B. muscatinei
642,H3H,1,6/22/2024,hot,3,high,,A. elegantissima x B. muscatinei
655,H2L,1,6/22/2024,hot,2,low,,A. elegantissima x B. muscatinei
667,H4L,1,6/22/2024,hot,4,low,,A. elegantissima x B. muscatinei
681,A1C,1,6/22/2024,ambient,1,control,,A. elegantissima x B. muscatinei
694,A9C,1,6/22/2024,ambient,9,control,,A. elegantissima x B. muscatinei
707,A4L,1,6/22/2024,ambient,4,low,,A. elegantissima x B. muscatinei
720,A10L,1,6/22/2024,ambient,10,low,,A. elegantissima x B. muscatinei
733,H4H,1,6/22/2024,hot,4,high,,A. elegantissima x B. muscatinei
746,H9H,1,6/22/2024,hot,9,high,,A. elegantissima x B. muscatinei
759,H1L,1,6/22/2024,hot,1,low,,A. elegantissima x B. muscatinei
772,H7L,2,6/22/2024,hot,7,low,,A. elegantissima x B. muscatinei
785,H10C,1,6/22/2024,hot,10,control,,A. elegantissima x B. muscatinei
798,H9C,1,6/22/2024,hot,9,control,,A. elegantissima x B. muscatinei
