No.,sample_id,condition,date,temp,aggregate,leachate,notes,species
1,H7L,2,6/21/2024,hot,7,low,,A. elegantissima x B. muscatinei
14,H1L,1,6/21/2024,hot,1,low,,A. elegantissima x B. muscatinei
27,H9C,1,6/21/2024,hot,9,control,,A. elegantissima x B. muscatinei
40,H10C,1,6/21/2024,hot,10,control,,A. elegantissima x B. muscatinei
53,H9H,1,6/21/2024,hot,9,high,,A. elegantissima x B. muscatinei
66,H4H,1,6/21/2024,hot,4,high,,A. elegantissima x B. muscatinei
79,A4L,1,6/21/2024,ambient,4,low,,A. elegantissima x B. muscatinei
92,A10L,1,6/21/2024,ambient,10,low,,A. elegantissima x B. muscatinei
105,A1C,1,6/21/2024,ambient,1,control,,A. elegantissima x B. muscatinei
118,A9C,1,6/21/2024,ambient,9,control,,A. elegantissima x B. muscatinei
131,A4H,1,6/21/2024,ambient,4,high,,A. elegantissima x B. muscatinei
144,A2H,1,6/21/2024,ambient,2,high,,A. elegantissima x B. muscatinei
157,H6H,1,6/21/2024,hot,6,high,,A. elegantissima x B. muscatinei
170,H3H,1,6/21/2024,hot,3,high,,A. elegantissima x B. muscatinei
183,H2L,1,6/21/2024,hot,2,low,,A. elegantissima x B. muscatinei
196,H4L,1,6/21/2024,hot,4,low,,A. elegantissima x B. muscatinei
209,H6C,1,6/21/2024,hot,6,control,,A. elegantissima x B. muscatinei
222,H5C,1,6/21/2024,hot,5,control,,A. elegantissima x B. muscatinei
235,A5C,1,6/21/2024,ambient,5,control,,A. elegantissima x B. muscatinei
248,A2L,1,6/21/2024,ambient,2,low,,A. elegantissima x B. muscatinei
261,A5L,1,6/21/2024,ambient,5,low,,A. elegantissima x B. muscatinei
274,A8L,1,6/21/2024,ambient,8,low,split,A. elegantissima x B. muscatinei
287,A10H,1,6/21/2024,ambient,10,high,,A. elegantissima x B. muscatinei
300,A8H,1,6/21/2024,ambient,8,high,,A. elegantissima x B. muscatinei
313,H2H,1,6/21/2024,hot,2,high,,A. elegantissima x B. muscatinei
326,H7H,1,6/21/2024,hot,7,high,,A. elegantissima x B. muscatinei
352,H3L,1,6/21/2024,hot,3,low,,A. elegantissima x B. muscatinei
365,H5L,1,6/21/2024,hot,5,low,,A. elegantissima x B. muscatinei
378,H1C,3,6/21/2024,hot,1,control,horizontal on jar,A. elegantissima x B. muscatinei
391,H2C,1,6/21/2024,hot,2,control,,A. elegantissima x B. muscatinei
404,A3C,1,6/21/2024,ambient,3,control,,A. elegantissima x B. muscatinei
416,A4C,1,6/21/2024,ambient,4,control,,A. elegantissima x B. muscatinei
430,A7L,1,6/21/2024,ambient,7,low,,A. elegantissima x B. muscatinei
443,A1L,1,6/21/2024,ambient,1,low,,A. elegantissima x B. muscatinei
456,A5H,1,6/21/2024,ambient,5,high,,A. elegantissima x B. muscatinei
469,A7H,1,6/21/2024,ambient,7,high,,A. elegantissima x B. muscatinei
482,H5H,1,6/21/2024,hot,5,high,,A. elegantissima x B. muscatinei
495,H8H,2,6/21/2024,hot,8,high,,A. elegantissima x B. muscatinei
508,H10L,1,6/21/2024,hot,10,low,,A. elegantissima x B. muscatinei
521,H9L,1,6/21/2024,hot,9,low,,A. elegantissima x B. muscatinei
534,H8C,3,6/21/2024,hot,8,control,,A. elegantissima x B. muscatinei
547,H3C,1,6/21/2024,hot,3,control,,A. elegantissima x B. muscatinei
560,A10C,1,6/21/2024,ambient,10,control,,A. elegantissima x B. muscatinei
573,A7C,1,6/21/2024,ambient,7,control,,A. elegantissima x B. muscatinei
586,A9L,1,6/21/2024,ambient,9,low,,A. elegantissima x B. muscatinei
599,A3L,1,6/21/2024,ambient,3,low,,A. elegantissima x B. muscatinei
612,A9H,1,6/21/2024,ambient,9,high,,A. elegantissima x B. muscatinei
625,A3H,1,6/21/2024,ambient,3,high,,A. elegantissima x B. muscatinei
649,H10H,1,6/21/2024,hot,10,high,,A. elegantissima x B. muscatinei
662,H8L,2,6/21/2024,hot,8,low,,A. elegantissima x B. muscatinei
675,H6L,1,6/21/2024,hot,6,low,,A. elegantissima x B. muscatinei
688,H1H,1,6/21/2024,hot,1,high,,A. elegantissima x B. muscatinei
701,H7C,2,6/21/2024,hot,7,control,,A. elegantissima x B. muscatinei
713,H4C,2,6/21/2024,hot,4,control,,A. elegantissima x B. muscatinei
727,A8C,1,6/21/2024,ambient,8,control,split,A. elegantissima x B. muscatinei
740,A6C,1,6/21/2024,ambient,6,control,,A. elegantissima x B. muscatinei
753,A6L,1,6/21/2024,ambient,6,low,,A. elegantissima x B. muscatinei
766,A2L,1,6/21/2024,ambient,2,low,,A. elegantissima x B. muscatinei
791,A1H,1,6/21/2024,ambient,1,high,,A. elegantissima x B. muscatinei
805,A6H,1,6/21/2024,ambient,6,high,,A. elegantissima x B. muscatinei
