Date,Time,Type,No.,1:PAR,1:Y (II),1:Fo,1:Fm,1:Fv/Fm,sample_id,temp,aggregate,leachate,species
,,D,,"Device Nr: #1, DIVING-PAM-II (UWFC0119A)",,,,,,,,,
24-06-19,21:02:25.771,FO,7,0,0.469,274,516,0.469,H2C,hot,2,control,A. elegantissima x B. muscatinei
24-06-19,21:04:30.920,FO,8,0,0.560,188,427,0.560,H3C,hot,3,control,A. elegantissima x B. muscatinei
24-06-19,21:04:57.046,FO,9,0,0.531,434,925,0.531,H7C,hot,7,control,A. elegantissima x B. muscatinei
24-06-19,21:05:21.398,FO,10,0,0.396,390,646,0.396,H6C,hot,6,control,A. elegantissima x B. muscatinei
24-06-19,21:05:43.980,FO,11,0,0.544,250,548,0.544,H5C,hot,5,control,A. elegantissima x B. muscatinei
24-06-19,21:06:03.232,FO,12,0,0.518,356,738,0.518,H10C,hot,10,control,A. elegantissima x B. muscatinei
24-06-19,21:06:24.211,FO,13,0,0.451,62,113,0.451,H1C,hot,1,control,A. elegantissima x B. muscatinei
24-06-19,21:06:44.879,FO,14,0,0.504,436,879,0.504,H4C,hot,4,control,A. elegantissima x B. muscatinei
24-06-19,21:07:05.404,FO,15,0,0.558,328,742,0.558,H5L,hot,5,low,A. elegantissima x B. muscatinei
24-06-19,21:07:27.740,FO,16,0,0.535,396,852,0.535,H9C,hot,9,control,A. elegantissima x B. muscatinei
24-06-19,21:08:03.039,FO,17,0,0.307,226,326,0.307,H10L,hot,10,low,A. elegantissima x B. muscatinei
24-06-19,21:08:29.707,FO,18,0,0.561,635,1445,0.561,H8L,hot,8,low,A. elegantissima x B. muscatinei
24-06-19,21:08:52.374,FO,19,0,0.522,787,1645,0.522,H2L,hot,2,low,A. elegantissima x B. muscatinei
24-06-19,21:09:13.848,FO,20,0,0.547,341,752,0.547,H4L,hot,4,low,A. elegantissima x B. muscatinei
24-06-19,21:09:36.477,FO,21,0,0.497,333,662,0.497,H3L,hot,3,low,A. elegantissima x B. muscatinei
24-06-19,21:10:11.797,FO,22,0,0.460,743,1376,0.460,H10H,hot,10,high,A. elegantissima x B. muscatinei
24-06-19,21:10:46.601,FO,23,0,0.541,334,727,0.541,H3H,hot,3,high,A. elegantissima x B. muscatinei
24-06-19,21:11:06.334,FO,24,0,0.515,589,1214,0.515,H7H,hot,7,high,A. elegantissima x B. muscatinei
24-06-19,21:11:58.484,FO,25,0,0.567,479,1107,0.567,H8C,hot,8,control,A. elegantissima x B. muscatinei
24-06-19,21:12:23.323,FO,26,0,0.548,319,705,0.548,H7L,hot,7,low,A. elegantissima x B. muscatinei
24-06-19,21:12:55.455,FO,27,0,0.585,258,622,0.585,H1H,hot,1,high,A. elegantissima x B. muscatinei
24-06-19,21:13:20.508,FO,28,0,0.524,351,737,0.524,H5H,hot,5,high,A. elegantissima x B. muscatinei
24-06-19,21:13:51.246,FO,29,0,0.607,522,1328,0.607,H9H,hot,9,high,A. elegantissima x B. muscatinei
24-06-19,21:14:41.517,FO,30,0,0.560,478,1087,0.560,H1L,hot,1,low,A. elegantissima x B. muscatinei
24-06-19,21:15:20.871,FO,31,0,0.493,919,1811,0.493,H4H,hot,4,high,A. elegantissima x B. muscatinei
24-06-19,21:16:53.976,FO,32,0,0.537,514,1110,0.537,H2H,hot,2,high,A. elegantissima x B. muscatinei
24-06-19,21:17:39.154,FO,33,0,0.547,421,929,0.547,H8H,hot,8,high,A. elegantissima x B. muscatinei
24-06-19,21:18:02.747,FO,34,0,0.526,342,722,0.526,H6H,hot,6,high,A. elegantissima x B. muscatinei
24-06-19,21:18:26.172,FO,35,0,0.544,367,805,0.544,H6L,hot,6,low,A. elegantissima x B. muscatinei
24-06-19,21:18:40.169,FO,36,0,0.540,179,389,0.540,H9L,hot,9,low,A. elegantissima x B. muscatinei
24-06-19,21:20:14.256,FO,38,0,0.479,272,522,0.479,A4C,ambient,4,control,A. elegantissima x B. muscatinei
24-06-19,21:22:12.753,FO,39,0,0.594,356,877,0.594,A8C,ambient,8,control,A. elegantissima x B. muscatinei
24-06-19,21:22:38.073,FO,40,0,0.532,313,669,0.532,A6C,ambient,6,control,A. elegantissima x B. muscatinei
24-06-19,21:23:28.045,FO,41,0,0.563,211,483,0.563,A10C,ambient,10,control,A. elegantissima x B. muscatinei
24-06-19,21:24:09.805,FO,42,0,0.594,99,244,0.594,A3C,ambient,3,control,A. elegantissima x B. muscatinei
24-06-19,21:24:51.915,FO,43,0,0.518,300,623,0.518,A9C,ambient,9,control,A. elegantissima x B. muscatinei
